"","x"
"1",0.999994518495666
"2",0.999994612108931
"3",0.999994244113061
"4",0.999994430187966
"5",0.999994979629236
"6",0.999996785086198
"7",0.999996391567905
"8",0.999997195700646
"9",0.999996621160687
"10",0.999995633640385
"11",0.999995576313227
"12",0.999995849632054
"13",0.999995756811091
"14",0.999995296277072
"15",0.999995671170702
"16",0.999995518689788
"17",0.999995344343551
"18",0.999996651826445
"19",0.999996422132158
"20",0.999996038116006
"21",0.99999579043725
"22",0.99999270045469
"23",0.999994032242117
"24",0.999996257989644
"25",0.999996042000604
"26",0.999996329756794
"27",0.999996359680563
"28",0.999995100156846
"29",0.999994900031267
"30",0.999995359467641
"31",0.999995691672327
"32",0.999995124476073
"33",0.999995063977026
"34",0.999995136160588
"35",0.999995798750487
"36",0.99999564595135
"37",0.999996079589702
"38",0.999995523664808
"39",0.99999556919136
"40",0.999995672705549
"41",0.999995261409852
"42",0.999996199319552
"43",0.999996299980813
"44",0.999995886423308
"45",0.999995377913583
"46",0.999996293446966
"47",0.999996130840519
"48",0.999995955122175
"49",0.999997221251864
"50",0.999997118055975
"51",0.999994429652591
"52",0.999994672557778
"53",0.999994534095696
"54",0.999995044691511
"55",0.999996231873169
"56",0.999996901380354
"57",0.999996206842281
"58",0.999995407989081
"59",0.99999770277494
"60",0.999996380206166
"61",0.999996344517303
"62",0.999996636427973
"63",0.999995826258422
"64",0.999996044000932
"65",0.999995247518046
"66",0.999995992016665
"67",0.999995577722673
"68",0.999995087682169
"69",0.999995830697263
"70",0.999997235997491
"71",0.999995748059593
"72",0.999996030266948
"73",0.999995902864631
"74",0.999996545345408
"75",0.999996113175698
"76",0.999995584810114
"77",0.999995703326168
"78",0.999995509273209
"79",0.999996150614149
"80",0.999996378370305
"81",0.999997432491176
"82",0.999996380224594
"83",0.999997507130111
"84",0.999996684642579
"85",0.999995435534657
"86",0.999995865353144
"87",0.999996192223672
"88",0.999995673622447
"89",0.999995753825475
"90",0.999996567717919
"91",0.999995932552997
"92",0.999994886604283
"93",0.999995109224074
"94",0.999995393727218
"95",0.999995851869233
"96",0.99999617602499
"97",0.999997046156909
"98",0.999995610946119
"99",0.999996094779556
"100",0.999996937466846
"101",0.999995909891603
"102",0.999996251039554
"103",0.999995008542953
"104",0.99999617735059
"105",0.999996294796726
"106",0.999996376036032
"107",0.999996158726561
"108",0.99999625716793
"109",0.999995416991813
"110",0.999995521490367
"111",0.999995363806858
"112",0.999995597069134
"113",0.999996501722093
"114",0.999995771704524
"115",0.999995500124286
"116",0.999995168924151
"117",0.999995420476604
"118",0.999995425946496
"119",0.999996497301223
"120",0.999996720170496
"121",0.999997212477897
"122",0.999996134512235
"123",0.99999598242823
"124",0.999996442412542
"125",0.999996294444267
